stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
1_0,箱根ケ崎駅東口,,35.770943,139.347127,1_0,0
2_0,箱根ケ崎駅西口,,35.7715,139.346177,2_0,0
3_1,瑞穂町役場,,35.772133,139.353686,3_1,0
3_2,瑞穂町役場,,35.772094,139.353766,3_2,0
4_1,病院前,,35.776515,139.352551,4_1,0
4_2,病院前,,35.776502,139.352626,4_2,0
5_1,狭山丘陵西,,35.780983,139.355813,5_1,0
5_2,狭山丘陵西,,35.780931,139.355877,5_2,0
6_1,瑞穂ケーブルテレビ前,,35.78262,139.358478,6_1,0
6_2,瑞穂ケーブルテレビ前,,35.782659,139.358671,6_2,0
7_1,高根下,,35.784713,139.36176,7_1,0
7_2,高根下,,35.784787,139.362189,7_2,0
8_1,水天宮入口,,35.786811,139.365788,8_1,0
8_2,水天宮入口,,35.786345,139.365353,8_2,0
9_1,坊,,35.788891,139.368642,9_1,0
9_2,坊,,35.788782,139.368615,9_2,0
10_1,太子堂入口,,35.790838,139.37087,10_1,0
10_2,太子堂入口,,35.790916,139.370908,10_2,0
11_1,駒形町,,35.79136,139.364279,11_1,0
11_2,駒形町,,35.791491,139.365368,11_2,0
12_1,瑞穂二本木,,35.791577,139.358402,12_1,0
12_2,瑞穂二本木,,35.791656,139.358488,12_2,0
13_1,二本木公園北,,35.792286,139.355151,13_1,0
13_2,二本木公園北,,35.792347,139.355355,13_2,0
14_1,元狭山広域防災広場,,35.792835,139.351364,14_1,0
14_2,元狭山広域防災広場,,35.792961,139.351256,14_2,0
15_1,栗原新田,,35.792883,139.345161,15_1,0
15_2,栗原新田,,35.793014,139.345435,15_2,0
16_0,飯能街道,,35.790059,139.344963,16_0,0
17_0,松山町西,,35.785331,139.348017,17_0,0
18_1,松山町入口,,35.786377,139.354685,18_1,0
18_2,松山町入口,,35.786338,139.35477,18_2,0
19_1,農協前,,35.790448,139.356048,19_1,0
19_2,農協前,,35.790357,139.356069,19_2,0
20_1,大橋場,,35.773697,139.3515,20_1,0
20_2,大橋場,,35.773597,139.351527,20_2,0
21_1,駒形富士山,,35.780266,139.352663,21_1,0
21_2,駒形富士山,,35.780602,139.352814,21_2,0
22_1,瑞穂バイパス南,,35.783231,139.353287,22_1,0
22_2,瑞穂バイパス南,,35.783327,139.353438,22_2,0
23_1,竜泉寺前,,35.792336,139.33881,23_1,0
23_2,竜泉寺前,,35.792393,139.338558,23_2,0
24_1,みずほ園入口,,35.792183,139.336371,24_1,0
24_2,みずほ園入口,,35.792092,139.336205,24_2,0
25_1,けんちの苑・みずほクリニック,,35.786834,139.329607,25_1,0
25_2,けんちの苑・みずほクリニック,,35.78645,139.32995,25_2,0
26_1,長岡長谷部,,35.784662,139.332941,26_1,0
26_2,長岡長谷部,,35.784658,139.332753,26_2,0
27_1,第二中学校,,35.781503,139.337636,27_1,0
27_2,第二中学校,,35.781995,139.336756,27_2,0
28_1,岩蔵街道入口,,35.777232,139.342384,28_1,0
28_2,岩蔵街道入口,,35.777067,139.342363,28_2,0
29_0,オリンピック,,35.775121,139.342237,29_0,0
30_0,ふれあいセンター,,35.774161,139.357386,30_0,0
31_1,瑞穂第一小学校,,35.768337,139.354954,31_1,0
31_2,瑞穂第一小学校,,35.768093,139.355142,31_2,0
32_1,寄り合いハウスいこい,,35.766164,139.361014,32_1,0
32_2,寄り合いハウスいこい,,35.766177,139.360735,32_2,0
33_1,阿豆佐味通り北,,35.763637,139.363414,33_1,0
33_2,阿豆佐味通り北,,35.763668,139.363334,33_2,0
34_1,下砂橋,,35.761949,139.362266,34_1,0
34_2,下砂橋,,35.762019,139.362164,34_2,0
35_0,ジョイフル本田,,35.762511,139.3584,35_0,0
36_0,ジョイフル本田西,,35.761727,139.355452,36_0,0
37_0,武蔵,,35.76188,139.353972,37_0,0
38_0,菜の花クリニック,,35.758031,139.3568,38_0,0
39_0,阿豆佐味通り南,,35.75692,139.357528,39_0,0
40_0,阿豆佐味通り中,,35.759175,139.359561,40_0,0
41_0,東松原北,,35.773347,139.338435,41_0,0
42_0,さくら公園西,,35.77419,139.33899,42_0,0
43_0,東松原,,35.772074,139.338663,43_0,0
44_0,西松原東,,35.770912,139.336914,44_0,0
45_0,第四小学校北,,35.768745,139.337092,45_0,0
46_0,南平西,,35.765627,139.3372,46_0,0
47_0,２６号棟前,,35.760957,139.339649,47_0,0
48_0,３３号棟前,,35.761144,139.341592,48_0,0
49_0,むさしの公園,,35.762229,139.338169,49_0,0
50_0,南平ひばり公園東,,35.765558,139.339698,50_0,0
51_0,南平北,,35.76682,139.33862,51_0,0
52_0,フレッシュランド西多摩,,35.766012,139.334804,52_0,0
53_0,瑞穂四小入口,,35.767582,139.337022,53_0,0
54_0,滑走路下,,35.769385,139.340448,54_0,0
55_0,西松原,,35.768629,139.334571,55_0,0
56_0,松原中央公園東,,35.77178,139.334438,56_0,0
57_0,下師岡公園,,35.776134,139.328475,57_0,0
58_0,長岡四丁目,,35.779125,139.327683,58_0,0
59_0,長岡南会館,,35.777074,139.328317,59_0,0
60_0,下野公園,,35.7765,139.33197,60_0,0
61_0,丸野医院西,,35.77493,139.333786,61_0,0
62_0,オリンピック東,,35.773492,139.343295,62_0,0
